// Gravity Guy
// Criação:        14 Fev 2013
// Atualização:    27 Set 2021
// Descrição:   Posição das plataformas do nível 1
//
//
//  posX    posY    platType
    -2318   172     0
    -2063   172     0
    -1808   172     0
    -1553   172     0
    -1298   172     0
    -1043   172     0
    -788    172     0
    -533    172     0
    -278    172     0
    -23     172     0
    232     172     0
    487     172     0
    742     172     0
    997     172     0
    1252    172     0
    1507    172     0
    1762    172     0
    2017    172     0
    2272    172     0
    2527    172     0

    
